sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis
VCFC_001,VCF24A001,19/06/2024,170,48.2909924,16.3305821,9,8,35,13,39,0,5,0,0,1,0,0,0
VCFC_002,VCF24A003,08/07/2024,189,48.24752,16.439,1,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_003,VCF24A022,17/06/2024,168,48.211826,16.392461,0,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_004,VCF24A012,21/06/2024,172,48.176807,16.36726,4,0,0,0,0,0,11,0,2,0,0,0,0
VCFC_005,VCF24A022,25/06/2024,176,48.211826,16.392461,2,0,0,0,0,0,13,0,0,0,0,0,0
VCFC_006,VCF24A054,23/06/2024,174,48.238611,16.38297,0,0,0,0,0,0,11,0,0,0,0,0,0
VCFC_007,VCF24M004,26/06/2024,177,48.2024576,16.3912598,47,1,0,0,0,0,4,0,1,0,0,0,0
VCFC_008,VCF24M006,26/06/2024,177,48.1993004,16.3526577,0,0,0,0,0,0,6,0,0,0,0,0,0
VCFC_009,VCF24A006,24/06/2024,175,48.232858,16.290515,0,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_010,VCF24M005,26/06/2024,177,48.1984457,16.363255,6,0,0,0,0,0,2,0,0,0,0,0,0
VCFC_011,VCF24M008,26/06/2024,177,48.2216895,16.4020354,7,0,0,0,0,0,15,0,0,0,0,0,0
VCFC_012,VCF24A054,27/06/2024,178,48.238611,16.38297,5,0,0,0,0,0,76,0,1,0,0,0,0
VCFC_013,VCF24A010,01/07/2024,182,48.1525687,16.3701174,79,0,0,0,0,0,0,0,2,0,0,0,1
VCFC_014,VCF24A010,01/07/2024,182,48.1525687,16.3701174,21,8,5,2,1,1,0,0,23,23,2,0,0
VCFC_015,VCF24A084,02/07/2024,183,48.29387095,16.29527035,1,0,0,0,0,1,2,0,0,0,0,0,0
VCFC_016,VCF24A096,04/07/2024,185,48.179084,16.281316,0,0,0,0,0,0,29,0,0,0,0,0,0
VCFC_017,VCF24A119,05/07/2024,186,48.1925638,16.3639217,1,0,0,0,0,1,16,0,0,0,0,0,0
VCFC_018,VCF24A030,06/07/2024,187,48.1882827,16.3054565,42,0,14,0,0,0,0,0,0,0,2,0,0
VCFC_019,VCF24A049,08/07/2024,189,48.22026015,16.38459645,1,0,0,0,0,0,94,0,21,0,0,0,0
VCFC_020,VCF24A010,08/07/2024,189,48.1525687,16.3701174,31,0,0,0,0,2,4,0,9,10,0,0,0
VCFC_021,VCF24A054,05/07/2024,186,48.238611,16.38297,10,0,0,0,0,0,45,0,7,0,0,0,0
