sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis,INCAL_WindSpeedNorth_daily,INCAL_RainfallRate_daily,INCAL_GlobalRadiation_daily,INCAL_RelativeHumidity_daily,INCAL_AirPressure_daily,INCAL_WindSpeedEast_daily,INCAL_DewPointTemperature_daily,INCAL_Temperature2m_daily,Yearly_TM,Yearly_RR,Yearly_SA,Monthly_TM,Monthly_RR,Monthly_SA,Daily_TX,Daily_TN,Daily_RR,Daily_SA
VCFC_001,VCF24A001,2024-06-19,170,48.29099,16.33058,  9, 8,35,13,39,  0,   5,  0, 0, 1, 0,0, 0,-0.086878087,7.839458e-02,253.17481,70.80203,101347.7, 0.773396015,14.1104446,19.914763,13.11834, 870.5637,6911278,20.782257, 87.675507,861546.5,25.056964,14.461056, 2.078010289,28672.039
VCFC_002,VCF24A003,2024-07-08,189,48.24752,16.43900,  1, 0, 0, 0, 0,  0,   3,  0, 0, 0, 0,0, 0, 0.180008212,4.705433e-02,245.75399,61.87661,101212.4, 0.643111831,15.3276694,23.533399,13.73870, 721.7471,7329652,24.434134, 19.231766,935633.9,28.556880,18.480676, 0.457902947,28367.396
VCFC_003,VCF24A022,2024-06-17,168,48.21183,16.39246,  0, 0, 0, 0, 0,  0,   0,  0, 0, 0, 0,0, 0, 0.159982008,1.606791e-01,241.17758,66.04126,101310.4, 1.107731837,13.1323617,20.089382,14.27861, 738.0645,7297200,22.126831, 79.087433,866864.2,24.767845,15.426531, 4.519342249,23822.369
VCFC_004,VCF24A012,2024-06-21,172,48.17681,16.36726,  4, 0, 0, 0, 0,  0,  11,  0, 2, 0, 0,0, 0, 0.285078031,6.580041e-02,240.40328,65.21617,101304.6, 1.297884975,13.6439542,20.724725,13.92402, 752.4619,7287492,21.684555, 80.272331,850664.8,26.247845,16.131333, 1.628561828,27303.540
VCFC_005,VCF24A022,2024-06-25,176,48.21183,16.39246,  2, 0, 0, 0, 0,  0,  13,  0, 0, 0, 0,0, 0,-0.239225227,4.269299e-02,265.19077,61.47306,101454.3, 0.220362060,13.6833835,21.774867,14.27861, 738.0645,7297200,22.126831, 79.087433,866864.2,26.934630,16.577627, 1.072302826,32247.824
VCFC_006,VCF24A054,2024-06-23,174,48.23861,16.38297,  0, 0, 0, 0, 0,  0,  11,  0, 0, 0, 0,0, 0,-0.570228407,6.926053e-02,254.61190,64.21385,101383.7, 0.803476421,13.4991315,20.907514,13.93061, 754.6767,7336334,21.781008, 78.838020,889579.2,26.316166,16.177856, 1.777567061,27342.131
VCFC_007,VCF24M004,2024-06-26,177,48.20246,16.39126, 47, 1, 0, 0, 0,  0,   4,  0, 1, 0, 0,0, 0,-0.075794279,3.851862e-02,269.37558,61.31009,101410.6, 0.043510998,14.2496487,22.416345,14.30741, 741.4128,7298988,22.148548, 79.621902,859675.2,27.499972,16.844514, 1.015817741,32711.105
VCFC_008,VCF24M006,2024-06-26,177,48.19930,16.35266,  0, 0, 0, 0, 0,  0,   6,  0, 0, 0, 0,0, 0,-0.029009120,4.216636e-02,267.83431,60.74168,101416.3, 0.139801386,14.2428129,22.568935,14.41113, 780.8029,7298482,22.237961, 83.301033,855718.8,27.573338,17.050720, 1.112006611,32450.665
VCFC_009,VCF24A006,2024-06-24,175,48.23286,16.29051,  0, 0, 0, 0, 0,  0,   1,  0, 0, 0, 0,0, 0,-0.490251283,5.738206e-02,271.07341,67.98702,101468.0, 1.060456775,13.4342063,19.859529,12.62921, 913.4418,7043172,20.121670, 93.533936,843774.8,24.833763,14.176995, 1.730518419,28317.030
VCFC_010,VCF24M005,2024-06-26,177,48.19845,16.36325,  6, 0, 0, 0, 0,  0,   2,  0, 0, 0, 0,0, 0,-0.033337402,4.479574e-02,267.42503,60.02312,101416.4, 0.114523618,14.2185336,22.736507,14.54847, 770.8080,7288557,22.388536, 82.358551,856469.4,27.699098,17.240037, 1.087458525,32495.631
VCFC_011,VCF24M008,2024-06-26,177,48.22169,16.40204,  7, 0, 0, 0, 0,  0,  15,  0, 0, 0, 0,0, 0,-0.125860383,4.190596e-02,272.71754,62.29692,101402.4, 0.027014915,14.3481010,22.290874,13.94833, 731.0214,7288141,21.758156, 78.565796,878299.9,27.185520,16.248420, 1.000382621,33334.819
VCFC_012,VCF24A054,2024-06-27,178,48.23861,16.38297,  5, 0, 0, 0, 0,  0,  76,  0, 1, 0, 0,0, 0,-0.124645648,4.982283e-02,276.82317,63.17206,101389.9, 0.097978754,15.0095933,22.748246,13.93061, 754.6767,7336334,21.781008, 78.838020,889579.2,27.980476,16.710142, 1.047280307,34963.469
VCFC_013,VCF24A010,2024-07-01,182,48.15257,16.37012, 79, 0, 0, 0, 0,  0,   0,  0, 2, 0, 0,0, 1,-0.275855858,5.579943e-02,268.21295,62.34697,101343.7, 0.654258025,15.6787234,23.587703,13.52043, 729.4509,7325177,24.163900, 21.836052,946533.1,29.532722,18.115534, 0.703801198,34151.700
VCFC_014,VCF24A010,2024-07-01,182,48.15257,16.37012, 21, 8, 5, 2, 1,  1,   0,  0,23,23, 2,0, 0,-0.275855858,5.579943e-02,268.21295,62.34697,101343.7, 0.654258025,15.6787234,23.587703,13.52043, 729.4509,7325177,24.163900, 21.836052,946533.1,29.532722,18.115534, 0.703801198,34151.700
VCFC_015,VCF24A084,2024-07-02,183,48.29387,16.29527,  1, 0, 0, 0, 0,  1,   2,  0, 0, 0, 0,0, 0,-0.195064767,5.716640e-02,265.80514,69.26536,101327.2, 1.098226764,15.7725260,21.972677,12.79534, 946.0264,6789198,23.187429, 28.510181,932597.8,28.473719,17.253594, 1.071118632,32345.414
VCFC_016,VCF24A096,2024-07-04,185,48.17908,16.28132,  0, 0, 0, 0, 0,  0,  29,  0, 0, 0, 0,0, 0,-0.371491097,3.251262e-02,263.61149,64.45558,101257.9, 1.183731558,14.9180994,22.301985,13.20471, 828.6726,7187861,23.694748, 27.387484,944146.1,28.029371,17.239681, 1.000215661,29672.602
VCFC_017,VCF24A119,2024-07-05,186,48.19256,16.36392,  1, 0, 0, 0, 0,  1,  16,  0, 0, 0, 0,0, 0,-0.155622676,3.609542e-02,260.60442,57.87248,101231.9, 1.649885024,14.1710191,23.332424,14.44730, 768.4668,7275263,25.161579, 21.281624,928057.0,28.776010,19.012679, 0.834354059,30861.599
VCFC_018,VCF24A030,2024-07-06,187,48.18828,16.30546, 42, 0,14, 0, 0,  0,   0,  0, 0, 0, 2,0, 0,-0.243604746,1.349382e-02,258.69904,62.59916,101229.8, 1.495573305,14.6644979,22.566620,13.46038, 811.0170,7228854,24.007879, 25.564056,936142.7,28.164711,17.471575, 0.787077224,30579.816
VCFC_019,VCF24A049,2024-07-08,189,48.22026,16.38460,  1, 0, 0, 0, 0,  0,  94,  0,21, 0, 0,0, 0, 0.112658905,2.550961e-02,249.96688,61.35894,101232.3, 1.169622045,15.2533793,23.540943,14.24639, 741.6365,7312748,25.033268, 19.136593,922059.7,28.874111,19.047049, 0.403502338,27979.449
VCFC_020,VCF24A010,2024-07-08,189,48.15257,16.37012, 31, 0, 0, 0, 0,  2,   4,  0, 9,10, 0,0, 0, 0.289734361,5.142483e-02,249.61516,62.69204,101230.5, 1.373796815,15.2243373,23.109107,13.52043, 729.4509,7325177,24.163900, 21.836052,946533.1,28.327194,18.060106, 0.519869457,27714.736
VCFC_021,VCF24A054,2024-07-05,186,48.23861,16.38297, 10, 0, 0, 0, 0,  0,  45,  0, 7, 0, 0,0, 0,-0.313877994,4.913851e-02,263.55865,59.73676,101214.7, 1.269752524,14.3758499,23.031196,13.93061, 754.6767,7336334,24.681007, 19.121374,916643.2,28.572643,18.417515, 0.803282389,31525.022
VCFC_022,VCF24A071,2024-07-08,189,48.19489,16.28251,  5, 0, 0, 0, 0,  0,  32,  0, 1, 0, 0,0, 0,-0.056245857,1.741543e-02,247.41628,65.85880,101234.9, 1.304101922,15.5809442,22.713682,13.24484, 849.2347,7208020,23.741964, 27.468180,941726.2,28.146641,17.404474, 0.637313553,27997.547
VCFC_023,VCF24A005,2024-07-08,189,48.20219,16.29594,  0, 0, 0, 0, 0,  0,  10,  0, 0, 0, 0,0, 0, 0.047949289,1.396410e-02,248.55609,65.72873,101235.6, 1.482368310,15.4414281,22.588520,13.20311, 845.4929,7228574,23.648319, 26.616096,932329.2,27.976183,17.389008, 0.605619359,27739.207
VCFC_024,VCF24A020,2024-07-08,189,48.20975,16.31395,  0, 0, 0, 0, 0, 10,  54,  0, 0, 0, 0,0, 0, 0.058181427,1.011209e-02,249.77566,64.77660,101238.0, 1.176187954,15.3707315,22.753037,13.52549, 830.4990,7257774,24.064735, 25.061800,927468.5,28.169053,17.933380, 0.554461132,27704.441
VCFC_025,VCF24M009,2024-07-09,190,48.18206,16.50312, 16, 0, 0, 0, 0, 61,   0,  0,12, 6, 0,0, 1, 0.232589977,3.003987e-02,253.03253,62.48655,101240.9, 0.892293385,15.6281208,23.707150,13.30013, 691.8010,7358534,23.941946, 21.609428,965702.1,28.755128,18.177273, 0.580867219,27449.237
VCFC_025#2,VCF24M009,2024-07-09,190,48.18206,16.50312, 13, 9, 0, 0, 0,  0,   0,  0, 0, 0, 0,0, 0, 0.232589977,3.003987e-02,253.03253,62.48655,101240.9, 0.892293385,15.6281208,23.707150,13.30013, 691.8010,7358534,23.941946, 21.609428,965702.1,28.755128,18.177273, 0.580867219,27449.237
