sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis,INCAL_WindSpeedNorth_daily,INCAL_RainfallRate_daily,INCAL_GlobalRadiation_daily,INCAL_RelativeHumidity_daily,INCAL_AirPressure_daily,INCAL_WindSpeedEast_daily,INCAL_DewPointTemperature_daily,INCAL_Temperature2m_daily,Yearly_TM,Yearly_RR,Yearly_SA,Monthly_TM,Monthly_RR,Monthly_SA,Daily_TX,Daily_TN,Daily_RR,Daily_SA,reprojected_r00_Wien_Bezirke_100m_1_1_Band_1,reprojected_r01_real_land_use2020_100m_b32_1_1_looseresidential,reprojected_r01_real_land_use2020_100m_b32_1_1_mediumresidential,reprojected_r01_real_land_use2020_100m_b32_1_1_denseresidential,reprojected_r01_real_land_use2020_100m_b32_1_1_largeisolatedresidential,reprojected_r01_real_land_use2020_100m_b32_1_1_office,reprojected_r01_real_land_use2020_100m_b32_1_1_commercial,reprojected_r01_real_land_use2020_100m_b32_1_1_businesscore,reprojected_r01_real_land_use2020_100m_b32_1_1_lowmixeduse,reprojected_r01_real_land_use2020_100m_b32_1_1_industrial,reprojected_r01_real_land_use2020_100m_b32_1_1_leisure,reprojected_r01_real_land_use2020_100m_b32_1_1_health,reprojected_r01_real_land_use2020_100m_b32_1_1_education,reprojected_r01_real_land_use2020_100m_b32_1_1_indoorsports,reprojected_r01_real_land_use2020_100m_b32_1_1_military,reprojected_r01_real_land_use2020_100m_b32_1_1_sewage,reprojected_r01_real_land_use2020_100m_b32_1_1_energy,reprojected_r01_real_land_use2020_100m_b32_1_1_water...55,reprojected_r01_real_land_use2020_100m_b32_1_1_construction,reprojected_r01_real_land_use2020_100m_b32_1_1_greenstreets,reprojected_r01_real_land_use2020_100m_b32_1_1_non-greenstreets,reprojected_r01_real_land_use2020_100m_b32_1_1_parking,reprojected_r01_real_land_use2020_100m_b32_1_1_railway,reprojected_r01_real_land_use2020_100m_b32_1_1_transport,reprojected_r01_real_land_use2020_100m_b32_1_1_park,reprojected_r01_real_land_use2020_100m_b32_1_1_outdoorsports,reprojected_r01_real_land_use2020_100m_b32_1_1_cemetery,reprojected_r01_real_land_use2020_100m_b32_1_1_fields,reprojected_r01_real_land_use2020_100m_b32_1_1_vineyards,reprojected_r01_real_land_use2020_100m_b32_1_1_nursery,reprojected_r01_real_land_use2020_100m_b32_1_1_forest,reprojected_r01_real_land_use2020_100m_b32_1_1_meadow,reprojected_r01_real_land_use2020_100m_b32_1_1_water...70,reprojected_r02_dem_mean_100m_b1_1_1_Band_1,reprojected_r04_imp2018_100m_b1_1_1_Band_1,reprojected_r05_treecover2018_100m_b1_COG_1_1_Band_1,reprojected_r06_protected_area_100m_b1_1_1_Band_1,reprojected_r07_Wien_water_areas_grid100m_1_1_Band_1,reprojected_r08_Wien_buildings_area_ha_100m_b1_1_1_Band_1,reprojected_r09_Wien_build_volume_i_grid100m_1_1_Band_1,reprojected_r10_vineyard_100m_b1_1_1_Band_1
VCFC_001,VCF24A001,2024-06-19,170,48.29099,16.33058,9,8,35,13,39,0,5,0,0,1,0,0,0,-0.086878087,0.07839458,253.17481,70.80203,101347.7,0.773396015,14.1104446,19.914763,13.11834,870.5637,6911278,20.782257,87.675507,861546.5,25.056964,14.461056,2.078010289,28672.039,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.799850463867,17.1036357879639,6.75534534454346,0,0,0,0.0123457293957472,0
VCFC_002,VCF24A003,2024-07-08,189,48.24752,16.439,1,0,0,0,0,0,3,0,0,0,0,0,0,0.180008212,0.04705433,245.75399,61.87661,101212.4,0.643111831,15.3276694,23.533399,13.7387,721.7471,7329652,24.434134,19.231766,935633.9,28.55688,18.480676,0.457902947,28367.396,22,0,0,50.8202590942383,1.30788099765778,0,0,0,2.11750340461731,0,0,0,0,0,0,0,0,0,0,0,27.7584896087646,0,0,0,16.0226173400879,0,0,0,0,0,0,0,0,160.52375793457,13.2346849441528,0.752279460430145,0,0,0.263239711523056,4.70637655258179,0
VCFC_003,VCF24A022,2024-06-17,168,48.21183,16.39246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159982008,0.1606791,241.17758,66.04126,101310.4,1.107731837,13.1323617,20.089382,14.27861,738.0645,7297200,22.126831,79.087433,866864.2,24.767845,15.426531,4.519342249,23822.369,2.98427581787109,0,0,57.5556983947754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55119514465332,24.6307067871094,0,5.3049635887146,0,2.41724729537964,0,0,0,0,0,0,0,1.12801480293274,161.569488525391,17.1877613067627,0.251912266016006,0,0.880398094654083,0.422400951385498,9.92906379699707,0
VCFC_004,VCF24A012,2024-06-21,172,48.17681,16.36726,4,0,0,0,0,0,11,0,2,0,0,0,0,0.285078031,0.06580041,240.40328,65.21617,101304.6,1.297884975,13.6439542,20.724725,13.92402,752.4619,7287492,21.684555,80.272331,850664.8,26.247845,16.131333,1.628561828,27303.54,10,0,0,57.671257019043,0,0,0,0,0,0,0,0,0.422838538885117,0,0,0,0,0,0,0,40.9059066772461,0,0,0,0,0,0,0,0,0,0,0,0,210.379928588867,15.1576433181763,0,0,0,0.451463520526886,33.6467666625977,0
VCFC_005,VCF24A022,2024-06-25,176,48.21183,16.39246,2,0,0,0,0,0,13,0,0,0,0,0,0,-0.239225227,0.04269299,265.19077,61.47306,101454.3,0.22036206,13.6833835,21.774867,14.27861,738.0645,7297200,22.126831,79.087433,866864.2,26.93463,16.577627,1.072302826,32247.824,2.98427581787109,0,0,57.5556983947754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55119514465332,24.6307067871094,0,5.3049635887146,0,2.41724729537964,0,0,0,0,0,0,0,1.12801480293274,161.569488525391,17.1877613067627,0.251912266016006,0,0.880398094654083,0.422400951385498,9.92906379699707,0
VCFC_006,VCF24A054,2024-06-23,174,48.23861,16.38297,0,0,0,0,0,0,11,0,0,0,0,0,0,-0.570228407,0.06926053,254.6119,64.21385,101383.7,0.803476421,13.4991315,20.907514,13.93061,754.6767,7336334,21.781008,78.83802,889579.2,26.316166,16.177856,1.777567061,27342.131,20,0,0,31.7477951049805,0,0,0,0,0,0,0,0,0.379187047481537,0,0,0,0,0,0,1.2471798658371,32.9595794677734,0,8.1518383026123,0,23.6526031494141,0,0,0,0,0,0,0,0,163.084289550781,32.2672843933105,4.19217538833618,0,0,0.219378784298897,5.66375017166138,0
VCFC_007,VCF24M004,2024-06-26,177,48.20246,16.39126,47,1,0,0,0,0,4,0,1,0,0,0,0,-0.075794279,0.03851862,269.37558,61.31009,101410.6,0.043510998,14.2496487,22.416345,14.30741,741.4128,7298988,22.148548,79.621902,859675.2,27.499972,16.844514,1.015817741,32711.105,3,0,0,5.87337875366211,6.15703773498535,0.551838219165802,16.4430885314941,16.6850814819336,0,0,9.57997417449951,0,0.0334447398781776,0,0,0,0,0,0,0,42.6594352722168,0,0,0,0,0,0,0,0,0,0,0,0,170.060791015625,12.987624168396,0.00702339550480247,0,0,0.44888237118721,11.9707889556885,0
VCFC_008,VCF24M006,2024-06-26,177,48.1993,16.35266,0,0,0,0,0,0,6,0,0,0,0,0,0,-0.02900912,0.04216636,267.83431,60.74168,101416.3,0.139801386,14.2428129,22.568935,14.41113,780.8029,7298482,22.237961,83.301033,855718.8,27.573338,17.05072,1.112006611,32450.665,6.04137420654297,0,0,20.8421897888184,0,0,0,43.585865020752,0,0,10.2053451538086,0,0,0,0,0,0,0,0,0,22.7551727294922,0,0,0,0,0,0,0,0,0,0,0,0,197.082275390625,15.8598585128784,0.323219239711761,0,0,0.560253918170929,33.4946098327637,0
VCFC_009,VCF24A006,2024-06-24,175,48.23286,16.29051,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.490251283,0.05738206,271.07341,67.98702,101468,1.060456775,13.4342063,19.859529,12.62921,913.4418,7043172,20.12167,93.533936,843774.8,24.833763,14.176995,1.730518419,28317.03,17,0.624989688396454,4.62406444549561,49.0453758239746,0,0,0,0,13.0627794265747,0,3.7861967086792,0,0,0,0,0,0,0,0,0.304307192564011,23.4851016998291,0,0,0,0,0,0,0,0,0,1.14521896839142,0,0,253.149810791016,8.84836196899414,4.79287338256836,1.23181962966919,0,0.273096770048141,29.9640808105469,0
VCFC_010,VCF24M005,2024-06-26,177,48.19845,16.36325,6,0,0,0,0,0,2,0,0,0,0,0,0,-0.033337402,0.04479574,267.42503,60.02312,101416.4,0.114523618,14.2185336,22.736507,14.54847,770.808,7288557,22.388536,82.358551,856469.4,27.699098,17.240037,1.087458525,32495.631,5.62301111221313,0,0,25.1789054870605,0,0,30.7027320861816,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9143028259277,3.79543209075928,0,0,5.69153118133545,0,0,0,0,0,0,0,0,170.734954833984,10.8961486816406,0.106659166514874,0,0,0.36414423584938,9.94007587432861,0
VCFC_011,VCF24M008,2024-06-26,177,48.22169,16.40204,7,0,0,0,0,0,15,0,0,0,0,0,0,-0.125860383,0.04190596,272.71754,62.29692,101402.4,0.027014915,14.348101,22.290874,13.94833,731.0214,7288141,21.758156,78.565796,878299.9,27.18552,16.24842,1.000382621,33334.819,2,0,0,27.1183204650879,1.93892621994019,0,15.9941263198853,0,0,0,0,0,13.7285814285278,0,0,0,0,0,0,9.24277019500732,12.6221323013306,0,0,0,0,15.9866695404053,0,0,0,0,0,0,0,161.363082885742,30.5334224700928,2.30095362663269,0,0,0.336702048778534,6.13524341583252,0
VCFC_012,VCF24A054,2024-06-27,178,48.23861,16.38297,5,0,0,0,0,0,76,0,1,0,0,0,0,-0.124645648,0.04982283,276.82317,63.17206,101389.9,0.097978754,15.0095933,22.748246,13.93061,754.6767,7336334,21.781008,78.83802,889579.2,27.980476,16.710142,1.047280307,34963.469,20,0,0,31.7477951049805,0,0,0,0,0,0,0,0,0.379187047481537,0,0,0,0,0,0,1.2471798658371,32.9595794677734,0,8.1518383026123,0,23.6526031494141,0,0,0,0,0,0,0,0,163.084289550781,32.2672843933105,4.19217538833618,0,0,0.219378784298897,5.66375017166138,0
VCFC_013,VCF24A010,2024-07-01,182,48.15257,16.37012,79,0,0,0,0,0,0,0,2,0,0,0,1,-0.275855858,0.05579943,268.21295,62.34697,101343.7,0.654258025,15.6787234,23.587703,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.532722,18.115534,0.703801198,34151.7,10,4.29856777191162,68.9176406860352,0,0,0,0,0,0,0,0,0,5.76086378097534,0,0,0,0,0,0,0,18.4262638092041,0,0,0,0,0,0,0,0,0,0.902174770832062,0.225543692708015,0,198.640426635742,14.679762840271,6.06923627853394,1.35326218605042,0,0.167216449975967,8.03371620178223,0
VCFC_014,VCF24A010,2024-07-01,182,48.15257,16.37012,21,8,5,2,1,1,0,0,23,23,2,0,0,-0.275855858,0.05579943,268.21295,62.34697,101343.7,0.654258025,15.6787234,23.587703,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.532722,18.115534,0.703801198,34151.7,10,4.29856777191162,68.9176406860352,0,0,0,0,0,0,0,0,0,5.76086378097534,0,0,0,0,0,0,0,18.4262638092041,0,0,0,0,0,0,0,0,0,0.902174770832062,0.225543692708015,0,198.640426635742,14.679762840271,6.06923627853394,1.35326218605042,0,0.167216449975967,8.03371620178223,0
VCFC_015,VCF24A084,2024-07-02,183,48.29387,16.29527,1,0,0,0,0,1,2,0,0,0,0,0,0,-0.195064767,0.0571664,265.80514,69.26536,101327.2,1.098226764,15.772526,21.972677,12.79534,946.0264,6789198,23.187429,28.510181,932597.8,28.473719,17.253594,1.071118632,32345.414,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.712966918945,61.5419120788574,20.177942276001,0,0,0,0.0123457293957472,0
VCFC_016,VCF24A096,2024-07-04,185,48.17908,16.28132,0,0,0,0,0,0,29,0,0,0,0,0,0,-0.371491097,0.03251262,263.61149,64.45558,101257.9,1.183731558,14.9180994,22.301985,13.20471,828.6726,7187861,23.694748,27.387484,944146.1,28.029371,17.239681,1.000215661,29672.602,13,0.79244339466095,29.7415046691895,0,0,0,0,0,2.70047688484192,0,0,0,45.9370002746582,0,0,0,0,0,0,16.8962249755859,0,0,1.00550818443298,0,0,0,0,0,0,0,0,0,0,212.050018310547,13.0043754577637,5.68183040618896,0,0,0.255913883447647,17.6799983978271,0
VCFC_017,VCF24A119,2024-07-05,186,48.19256,16.36392,1,0,0,0,0,1,16,0,0,0,0,0,0,-0.155622676,0.03609542,260.60442,57.87248,101231.9,1.649885024,14.1710191,23.332424,14.4473,768.4668,7275263,25.161579,21.281624,928057,28.77601,19.012679,0.834354059,30861.599,4,0,0,61.0339813232422,0,0,0,0,0,2.34375810623169,0,0,0,0,0,0,0,0,0,0,35.6222610473633,0,0,0,0,0,0,0,0,0,0,0,0,175.421020507812,14.6427688598633,0.0457652844488621,0,0,0.508607387542725,20.3156452178955,0
VCFC_018,VCF24A030,2024-07-06,187,48.18828,16.30546,42,0,14,0,0,0,0,0,0,0,2,0,0,-0.243604746,0.01349382,258.69904,62.59916,101229.8,1.495573305,14.6644979,22.56662,13.46038,811.017,7228854,24.007879,25.564056,936142.7,28.164711,17.471575,0.787077224,30579.816,14,0,0,33.1515159606934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0652847290039,0,0,0,29.9978828430176,0,0,0,0,0,0,0,15.9000806808472,190.192077636719,24.1207828521729,14.4664630889893,0,0.248877361416817,0.205010205507278,10.286078453064,0
VCFC_019,VCF24A049,2024-07-08,189,48.22026,16.3846,1,0,0,0,0,0,94,0,21,0,0,0,0,0.112658905,0.02550961,249.96688,61.35894,101232.3,1.169622045,15.2533793,23.540943,14.24639,741.6365,7312748,25.033268,19.136593,922059.7,28.874111,19.047049,0.403502338,27979.449,2,0,0,64.8318939208984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11360740661621,25.0032272338867,0,0,0,0,0,0,0,0,0,0,0,0,161.721557617188,14.8563632965088,0,0,0,0.464629530906677,10.6811456680298,0
VCFC_020,VCF24A010,2024-07-08,189,48.15257,16.37012,31,0,0,0,0,2,4,0,9,10,0,0,0,0.289734361,0.05142483,249.61516,62.69204,101230.5,1.373796815,15.2243373,23.109107,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,28.327194,18.060106,0.519869457,27714.736,10,4.29856777191162,68.9176406860352,0,0,0,0,0,0,0,0,0,5.76086378097534,0,0,0,0,0,0,0,18.4262638092041,0,0,0,0,0,0,0,0,0,0.902174770832062,0.225543692708015,0,198.640426635742,14.679762840271,6.06923627853394,1.35326218605042,0,0.167216449975967,8.03371620178223,0
VCFC_021,VCF24A054,2024-07-05,186,48.23861,16.38297,10,0,0,0,0,0,45,0,7,0,0,0,0,-0.313877994,0.04913851,263.55865,59.73676,101214.7,1.269752524,14.3758499,23.031196,13.93061,754.6767,7336334,24.681007,19.121374,916643.2,28.572643,18.417515,0.803282389,31525.022,20,0,0,31.7477951049805,0,0,0,0,0,0,0,0,0.379187047481537,0,0,0,0,0,0,1.2471798658371,32.9595794677734,0,8.1518383026123,0,23.6526031494141,0,0,0,0,0,0,0,0,163.084289550781,32.2672843933105,4.19217538833618,0,0,0.219378784298897,5.66375017166138,0
VCFC_022,VCF24A071,2024-07-08,189,48.19489,16.28251,5,0,0,0,0,0,32,0,1,0,0,0,0,-0.056245857,0.01741543,247.41628,65.8588,101234.9,1.304101922,15.5809442,22.713682,13.24484,849.2347,7208020,23.741964,27.46818,941726.2,28.146641,17.404474,0.637313553,27997.547,14,0,20.9107036590576,12.4881944656372,0,0,0,0,0,0,8.3024206161499,0,15.5957336425781,0,0,0,0,0,0,0,41.6263771057129,0,0,0,0,0,0,0,0,0,0,0,0,206.514297485352,10.3545417785645,0.590989649295807,0,0,0.353589177131653,24.3012828826904,0
VCFC_023,VCF24A005,2024-07-08,189,48.20219,16.29594,0,0,0,0,0,0,10,0,0,0,0,0,0,0.047949289,0.0139641,248.55609,65.72873,101235.6,1.48236831,15.4414281,22.58852,13.20311,845.4929,7228574,23.648319,26.616096,932329.2,27.976183,17.389008,0.605619359,27739.207,14,0.320346504449844,0,70.6275787353516,0,0,0,0,0,0,0,0,0,0,1.04841947555542,0,0,0,0,16.1414642333984,9.86360454559326,0,0,0,0,0,0,0,0,0,0,0,0,254.422500610352,12.3379077911377,4.37090253829956,0,0,0.250604093074799,29.8070106506348,0
VCFC_024,VCF24A020,2024-07-08,189,48.20975,16.31395,0,0,0,0,0,10,54,0,0,0,0,0,0,0.058181427,0.01011209,249.77566,64.7766,101238,1.176187954,15.3707315,22.753037,13.52549,830.499,7257774,24.064735,25.0618,927468.5,28.169053,17.93338,0.554461132,27704.441,16,0,0,63.5536346435547,0,0,0,0,0,4.70088624954224,0,0,0,0,0,0,0,0,0,29.1899223327637,0.602260887622833,0,0,0,0,0,0,0,0,0,0,0,0,222.899047851562,16.9460430145264,4.79393768310547,0,0,0.377632409334183,33.4118347167969,0
VCFC_025,VCF24M009,2024-07-09,190,48.18206,16.50312,16,0,0,0,0,61,0,0,12,6,0,0,1,0.232589977,0.03003987,253.03253,62.48655,101240.9,0.892293385,15.6281208,23.70715,13.30013,691.801,7358534,23.941946,21.609428,965702.1,28.755128,18.177273,0.580867219,27449.237,22,0,0,0,0,0,0,0,0,68.0425415039062,0,0,0,0,0,0,0,0,0,0,0,0,8.96359157562256,0,0,0,0,0,0,0,14.7816162109375,0,6.48509836196899,156.179779052734,83.4718780517578,19.5493106842041,19.978141784668,0,0.0479426085948944,0.277489870786667,0
VCFC_025#2,VCF24M009,2024-07-09,190,48.18206,16.50312,13,9,0,0,0,0,0,0,0,0,0,0,0,0.232589977,0.03003987,253.03253,62.48655,101240.9,0.892293385,15.6281208,23.70715,13.30013,691.801,7358534,23.941946,21.609428,965702.1,28.755128,18.177273,0.580867219,27449.237,22,0,0,0,0,0,0,0,0,68.0425415039062,0,0,0,0,0,0,0,0,0,0,0,0,8.96359157562256,0,0,0,0,0,0,0,14.7816162109375,0,6.48509836196899,156.179779052734,83.4718780517578,19.5493106842041,19.978141784668,0,0.0479426085948944,0.277489870786667,0
VCFC_026,VCF24A003,2024-07-09,190,48.24752,16.439,0,0,0,0,0,0,10,0,0,0,0,0,0,0.220209261,0.04705433,240.98494,61.63618,101206.6,0.655928586,15.6269416,23.960749,13.7387,721.7471,7329652,24.434134,19.231766,935633.9,29.032436,18.613566,0.457902947,27310.871,22,0,0,50.8202590942383,1.30788099765778,0,0,0,2.11750340461731,0,0,0,0,0,0,0,0,0,0,0,27.7584896087646,0,0,0,16.0226173400879,0,0,0,0,0,0,0,0,160.52375793457,13.2346849441528,0.752279460430145,0,0,0.263239711523056,4.70637655258179,0
VCFC_027,VCF24A100,2024-07-09,190,48.19308,16.31652,24,0,0,0,0,0,21,0,4,0,0,0,1,0.203722647,0.01088989,245.75073,63.64385,101231.8,1.512737677,15.6858206,23.417484,13.75287,809.2028,7255339,24.353441,24.850439,931264.6,28.878853,18.404029,0.558404425,26783.482,14.1243877410889,0,0,59.9367408752441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0632591247559,0,0,0,0,0,0,0,0,0,0,0,0,207.23503112793,15.1811857223511,2.15204739570618,0,0,0.397002786397934,27.2462768554688,0
VCFC_028,VCF24A100,2024-07-09,190,48.19308,16.31652,0,0,0,0,0,0,26,0,0,0,0,0,0,0.203722647,0.01088989,245.75073,63.64385,101231.8,1.512737677,15.6858206,23.417484,13.75287,809.2028,7255339,24.353441,24.850439,931264.6,28.878853,18.404029,0.558404425,26783.482,14.1243877410889,0,0,59.9367408752441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0632591247559,0,0,0,0,0,0,0,0,0,0,0,0,207.23503112793,15.1811857223511,2.15204739570618,0,0,0.397002786397934,27.2462768554688,0
VCFC_029,VCF24A010,2024-07-11,192,48.15257,16.37012,38,0,0,1,0,0,7,0,3,3,0,0,0,0.256834718,0.08157927,244.73063,62.50171,101247.5,1.763539724,15.7542971,23.782091,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.452218,18.778497,0.719429086,26970.481,10,4.29856777191162,68.9176406860352,0,0,0,0,0,0,0,0,0,5.76086378097534,0,0,0,0,0,0,0,18.4262638092041,0,0,0,0,0,0,0,0,0,0.902174770832062,0.225543692708015,0,198.640426635742,14.679762840271,6.06923627853394,1.35326218605042,0,0.167216449975967,8.03371620178223,0
VCFC_030,VCF24A010,2024-07-11,192,48.15257,16.37012,12,0,4,0,0,0,0,0,0,0,0,0,0,0.256834718,0.08157927,244.73063,62.50171,101247.5,1.763539724,15.7542971,23.782091,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.452218,18.778497,0.719429086,26970.481,10,4.29856777191162,68.9176406860352,0,0,0,0,0,0,0,0,0,5.76086378097534,0,0,0,0,0,0,0,18.4262638092041,0,0,0,0,0,0,0,0,0,0.902174770832062,0.225543692708015,0,198.640426635742,14.679762840271,6.06923627853394,1.35326218605042,0,0.167216449975967,8.03371620178223,0
VCFC_031,VCF24A005,2024-07-12,193,48.20219,16.29594,0,0,0,0,0,0,8,0,0,0,0,0,0,-0.009229831,0.03508616,246.79401,65.88434,101228.7,1.806866337,15.9365831,23.155013,13.20311,845.4929,7228574,23.648319,26.616096,932329.2,29.306044,18.325922,1.527910909,26752.174,14,0.320346504449844,0,70.6275787353516,0,0,0,0,0,0,0,0,0,0,1.04841947555542,0,0,0,0,16.1414642333984,9.86360454559326,0,0,0,0,0,0,0,0,0,0,0,0,254.422500610352,12.3379077911377,4.37090253829956,0,0,0.250604093074799,29.8070106506348,0
VCFC_032,VCF24A009,2024-07-11,192,48.43389,16.47867,0,0,0,1,0,29,1,0,0,0,0,0,0,-0.006651354,0.1735727,249.88199,68.71374,101288,0.636934273,16.2012358,22.788277,13.09008,730.5518,7261222,23.791946,24.191683,973592.5,29.065272,18.438308,0.951206814,28277.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCFC_033,VCF24A054,2024-07-12,193,48.23861,16.38297,6,0,0,0,0,0,29,0,3,0,0,0,0,-0.00164777,0.06608744,251.04578,62.38384,101220.4,1.215775329,15.866193,24.010157,13.93061,754.6767,7336334,24.681007,19.121374,916643.2,30.13789,19.49471,1.240425239,26443.074,20,0,0,31.7477951049805,0,0,0,0,0,0,0,0,0.379187047481537,0,0,0,0,0,0,1.2471798658371,32.9595794677734,0,8.1518383026123,0,23.6526031494141,0,0,0,0,0,0,0,0,163.084289550781,32.2672843933105,4.19217538833618,0,0,0.219378784298897,5.66375017166138,0
VCFC_034,VCF24A124,2024-07-14,195,48.18959,16.29772,0,0,0,0,0,2,32,0,1,0,0,0,0,-0.329303869,0.03559138,248.80631,64.64034,101251.6,1.736224387,15.8307981,23.335069,13.35515,821.1126,7217871,23.880129,26.186319,936335.5,29.265,18.577029,1.463452841,26012.467,14,0,5.97400331497192,68.2613220214844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9043579101562,0,0,0,0,0,0,0,0,0,0,0,0,195.461059570312,11.7857007980347,9.85068416595459,0,0,0.368786931037903,20.1493282318115,0
VCFC_035,VCF24A055,2024-07-11,192,48.26137,16.38409,84,0,0,0,0,0,12,0,0,0,0,0,0,0.035165479,0.05685862,247.47278,63.15397,101244,0.969520264,16.0277428,23.973358,13.79656,777.5774,7344424,24.504843,19.755074,921105.2,29.763246,19.228963,0.558531884,26803.842,21,20.7657260894775,0,54.6549644470215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3464946746826,0,0,0,0,0,0,0,0,0,0,0,0,162.68977355957,26.154504776001,0.498000413179398,0,0,0.29580882191658,3.59811115264893,0
VCFC_036,VCF24A095,2024-07-14,195,48.19511,16.28763,65,0,0,0,0,3,47,0,20,0,0,0,0,-0.303791094,0.03662454,247.80961,65.51349,101252.1,1.903141811,15.8695927,23.158438,13.27822,842.5419,7218273,23.779573,27.078672,939379.4,29.207216,18.456299,1.499590393,26174.169,14,0,0,80.3550186157227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6449775695801,0,0,0,0,0,0,0,0,0,0,0,0,208.200378417969,13.0053949356079,4.15206718444824,0,0,0.399462252855301,28.7403144836426,0
VCFC_037,VCF24A010,2024-07-15,196,48.15257,16.37012,28,0,0,0,0,7,3,0,3,0,0,0,1,-0.483258665,0.06073372,255.9952,61.92091,101249.9,1.838233884,15.7448342,23.93543,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.293068,18.814376,1.200407806,27366.007,10,4.29856777191162,68.9176406860352,0,0,0,0,0,0,0,0,0,5.76086378097534,0,0,0,0,0,0,0,18.4262638092041,0,0,0,0,0,0,0,0,0,0.902174770832062,0.225543692708015,0,198.640426635742,14.679762840271,6.06923627853394,1.35326218605042,0,0.167216449975967,8.03371620178223,0
VCFC_038,VCF24A010,2024-07-15,196,48.15257,16.37012,8,11,4,0,0,0,0,0,0,1,0,0,0,-0.483258665,0.06073372,255.9952,61.92091,101249.9,1.838233884,15.7448342,23.93543,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.293068,18.814376,1.200407806,27366.007,10,4.29856777191162,68.9176406860352,0,0,0,0,0,0,0,0,0,5.76086378097534,0,0,0,0,0,0,0,18.4262638092041,0,0,0,0,0,0,0,0,0,0.902174770832062,0.225543692708015,0,198.640426635742,14.679762840271,6.06923627853394,1.35326218605042,0,0.167216449975967,8.03371620178223,0
VCFC_039,VCF24A016,2024-07-15,196,48.29799,16.41942,59,0,0,0,0,0,5,0,0,0,0,0,0,-0.153800255,0.03802189,258.69098,64.39153,101247.5,1.01012493,16.0975679,23.783574,13.57992,759.5504,7415578,24.260086,19.745504,947695.7,29.439433,18.938018,1.184092441,27501.288,21,0,61.2300224304199,0.291163146495819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0332145690918,0,2.1927695274353,0,0,0,0,0,0,0,0,0,0,164.415588378906,12.5405893325806,0.344971239566803,0,0,0.284007132053375,3.6949622631073,0
VCFC_040,VCF24A133,2024-07-15,196,48.24505,16.37221,22,0,0,0,0,1,14,0,0,0,0,0,0,-0.418824522,0.04649923,264.49186,61.78318,101250.4,1.147889781,15.8700598,24.158549,13.85212,777.1276,7352119,24.556522,19.762102,912168,29.573019,19.231573,1.185612629,26238.75,20,2.42282891273499,0,80.3147735595703,0.0220304876565933,0,2.02908825874329,0,0,0,3.09197378158569,0,0,0,0,0,0.0587479695677757,0,0,0,2.05022835731506,0.769321739673615,5.32510471343994,0,0.576991260051727,0,0,0,0,0,1.15398252010345,0,0,163.039916992188,25.0957431793213,1.06358730792999,0,0,0.417910575866699,9.20882511138916,0
