Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
Indoors,0.0573717239178448,-0.319302925795582,0.296469348494632,0.0733851464667353,0.179569605546092
INCAL_WindSpeedNorth_daily,-0.505687381683654,-0.217210538129066,-0.134762070820297,-0.422923301074137,0.0663315856187226
INCAL_RainfallRate_daily,-0.216591464339959,-0.00569696196010517,0.149168569878231,0.829173097201036,0.0857590808828222
INCAL_GlobalRadiation_daily,0.931741090132093,0.234769948848854,0.0119227819845528,-0.14988880262389,0.000610088289247602
INCAL_RelativeHumidity_daily,-0.934713703623562,-0.0549426139722198,0.011478048249835,0.0832940679095351,-0.0308150301677264
INCAL_AirPressure_daily,-0.568505593558235,-0.239957678391559,-0.0429275148239822,-0.45632566136992,0.0850606570027481
INCAL_WindSpeedEast_daily,0.30709151311012,0.27123714641208,0.24773105625454,0.687354192702051,-0.00409782264431275
INCAL_DewPointTemperature_daily,0.917713729322378,0.189857185003287,0.0399233416729419,-0.0327644697045132,-0.00627209663580398
INCAL_Temperature2m_daily,0.968541783183471,0.145070706123001,0.0265480933113642,-0.0449390952031473,0.0075912499176985
Yearly_TM,0.30391856823442,-0.847240042764162,-0.149678435961401,0.131288514121782,-0.164567732144393
Yearly_RR,-0.221022821005245,0.545413463215391,0.593343470757595,-0.0810333590504953,0.0826794375567311
Yearly_SA,0.242627475518077,-0.601049663826211,-0.479817487902249,0.0838147908283119,-0.0268252422513049
Monthly_TM,0.93433627110688,0.1635593469381,0.0535837069176948,0.0740736585051797,-0.00973275309224404
Monthly_RR,-0.0608188785659849,-0.0856609216776773,0.212251305441341,0.577789308621059,0.108810964688925
Monthly_SA,0.923675984702688,0.231229251985117,0.0565937311176326,0.0279849658007107,0.0153505523130646
Daily_TX,0.959923894735735,0.156684611657597,0.0427458719431893,-0.0149708871932547,0.0150608153762744
Daily_TN,0.971657744615695,0.0668560594105518,0.0260819624794833,-0.00091020411235461,-0.0279794934463476
Daily_RR,-0.186345903859128,-0.0168994544755776,0.207994154975227,0.834717154462221,0.0886641088500978
Daily_SA,0.904567349410254,0.143050821189541,0.0426887307816249,-0.143296443491288,0.0495419588406525
Wien_Bezirke,-0.158827613619301,0.54722782694791,-0.0362669769504425,-0.0914697940478721,0.00256847659939757
looseresidential,-0.0757490563198675,0.348299872738321,-0.121244664949325,-0.0927077117511681,0.0684320410989168
mediumresidential,-0.179345408348622,0.396681361480228,-0.0227205124579903,-0.15415585000746,0.199755810323239
denseresidential,0.167223964595502,-0.560281278198375,0.199249200497121,0.0210721279663352,-0.1612221888764
largeisolatedresidential,-0.0243617592006974,-0.0949410464142026,0.306276237386172,0.135604096742607,0.261070239812091
office,0.00753813645473789,-0.310320548916287,0.0939936508537094,0.106126227938049,-0.0443609254002865
commercial,0.0674740247503363,-0.103645675405516,-0.113260781004054,-0.0579380872120187,-0.0178652702994654
businesscore,0.0658424022126474,-0.146139481153783,0.0477810616549899,-0.0309376804603864,-0.0618196335239853
lowmixeduse,-0.0954200499268024,0.232572619038495,0.197043181973099,-0.0481853088091795,-0.130756146202778
industrial,0.0457322969512174,0.19292072073058,-0.435089851169879,0.0356163183903365,0.116035664701797
leisure,0.0201368280904829,0.343473402049946,0.168181609128672,-0.0304151050352604,0.0692760341740186
health,0.0714284952971353,-0.0409336109485099,0.00945852294042281,0.00973894881034711,-0.00411651952679881
education,0.00295072961919645,0.0505596430042964,-0.0688789231286378,-0.143018474176628,0.0304356962237039
military,-0.257494195354741,0.013248367900211,0.266357664853,-0.00968276201611031,0.191142136573729
energy,0.040973519715273,-0.102557220250783,-0.112852052615488,0.0224271764825797,-0.00317366025741112
construction,-0.0545865348100908,0.000618588065875974,-0.483595889910042,0.210722748619805,0.49104091571384
greenstreets,-0.113449391990262,0.0033942006557141,0.294062099847404,-0.0343330440657895,0.258297245249601
non.greenstreets,0.186825025361222,-0.341587257080851,0.240563421626092,-0.0682225906565172,-0.276776068652238
parking,-0.0699045286415787,-0.0394243694464936,-0.454704384824304,0.18483435099916,0.502778837113971
railway,0.146812031736515,-0.000237353786480067,-0.276409915880068,0.103762211691184,0.0264892989460711
park,0.147132414342236,-0.0310396520618636,-0.223111239671819,0.032135096292546,-0.216196395230584
outdoorsports,-0.0686259893065262,-0.0340037444231224,-0.432561099743729,0.170978309381683,0.480244714289512
cemetery,-0.0103066435850554,-0.0845727389513348,0.325004933735296,0.0623875678656072,0.260996845059901
fields,-0.0990648795291323,-0.00278569277917674,-0.235226992776587,0.0439948442296492,-0.131583118553724
vineyards,-0.290091280302541,0.357304047684786,-0.0467536367009149,0.183400371565652,-0.646865185035734
nursery,0.083440517401386,-0.0317878206722522,-0.128596252120658,0.0242317570009057,-0.0759994806964779
forest,-0.0096831848129577,0.227635305235421,-0.604601756932749,0.100723761336781,0.345984276413802
meadow,0.00303905524946798,0.179019505476144,-0.054724654961639,0.106896995125565,-0.181002711038536
water.1,0.0168033408859898,0.105968028784083,-0.223935600364551,0.00777001467012651,-0.0141856178404927
dem_mean,-0.3233775196419,0.69555194693143,0.501794249618347,-0.113903355471754,0.159800224490321
imp2018,0.0967959269945334,0.394287681994102,-0.328032413709488,0.192351726009699,0.0526825088309199
