Shannon,Simpson,InvSimpson,Richness,Eveness,Latitude,Longitude,Days,Dim.1,Dim.2,Dim.3,Dim.4
VCFC_001,1.56304244679405,0.74495867768595,3.92093324692158,7,0.803244922461019,48.29099,16.33058,170,-0.0144088608078266,-1.5643361865787,-0.61886640034515,-0.00385742504511463
VCFC_002,0.562335144618808,0.375,1.6,2,0.811278124459133,48.24752,16.439,189,0.613559018594368,0.73788057566587,-0.499712686785706,-0.126203034944429
VCFC_004,0.873900414269067,0.512110726643599,2.04964539007092,3,0.795458437233148,48.17681,16.36726,172,0.243233477071463,0.54318696918696,0.0181562334657048,0.0519770478559787
VCFC_005,0.392674467227552,0.231111111111111,1.30057803468208,2,0.566509506552905,48.21183,16.39246,176,0.382990767972182,0.961780791818794,-0.351654799833178,0.204949990514925
VCFC_006,0,0,1,1,NA,48.23861,16.38297,174,0.350763791471905,0.624886200016816,0.0610235227223056,-0.270650702882908
VCFC_007,0.451384088554908,0.207191171235315,1.26133812303547,4,0.325604793047175,48.20246,16.39126,177,0.419141121863414,0.677073398013233,-0.676356973834208,-0.0215298314667035
VCFC_008,0,0,1,1,NA,48.1993,16.35266,177,0.426101687435702,0.555005529523184,-0.65711525450725,0.0682988345382623
VCFC_009,0,0,1,1,NA,48.23286,16.29051,175,0.0130819983428013,-1.47441794197285,-0.368119544563112,0.123634739260357
VCFC_010,0.562335144618808,0.375,1.6,2,0.811278124459133,48.19845,16.36325,177,0.45389107879646,0.663791703328715,-0.642057876634074,0.0791082517516905
VCFC_011,0.625491359725573,0.433884297520661,1.76642335766423,2,0.902393282794979,48.22169,16.40204,177,0.38282260547359,0.478875730176286,-0.705718988044902,-0.0757469398278767
VCFC_012,0.294732376240696,0.137120761451517,1.15891072044123,3,0.268276970211221,48.23861,16.38297,178,0.453254385796173,0.753684577229257,-0.474039507363748,0.382663692893419
VCFC_013,0.180223214264075,0.0710886377156456,1.07652897854627,3,0.164046239171935,48.15257,16.37012,182,0.671510942984718,0.514970926014189,-0.482581857526991,-0.264922350871395
VCFC_014,1.71454478761651,0.783937263385614,4.62828535669587,9,0.780322960748564,48.15257,16.37012,182,0.667514107365936,0.195521323926261,-0.684044628822837,-0.691112699511448
VCFC_015,1.03972077083992,0.625,2.66666666666667,3,0.946394630357186,48.29387,16.29527,183,0.33132093248306,-2.08346260952542,-0.845581355229807,0.178293786836352
