Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
Indoors,0.0121493611653672,0.299379528628543,0.155857130635648,0.16782140619484,0.913968059004253
INCAL_WindSpeedNorth_daily,-0.573911393054702,0.185170691920622,-0.428050615306855,0.436115490426969,-0.131852855958643
INCAL_RainfallRate_daily,-0.154020722520821,-0.101663392654088,0.859618949232895,0.204002981550623,-0.117233064611369
INCAL_GlobalRadiation_daily,0.945215302278992,-0.104098610727934,-0.208630503514679,-0.0213745328108634,-0.0156732673653331
INCAL_RelativeHumidity_daily,-0.92140444928224,-0.144977137028413,0.0985269270994616,-0.119545197401031,0.0259267027132145
INCAL_AirPressure_daily,-0.628505565621806,0.156468817111231,-0.406838488408766,0.171678542537604,0.0485860165202402
INCAL_WindSpeedEast_daily,0.428588857868246,-0.347501302251177,0.689155288314999,-0.370616005850983,0.0576849560906748
INCAL_DewPointTemperature_daily,0.932529611061002,-0.0965243476247522,-0.137478222567689,0.139907506383257,0.00676327200632439
INCAL_Temperature2m_daily,0.97505244459647,-0.00255147778278422,-0.120954697254075,0.146803834495582,-0.00352979115133736
Yearly_TM,0.227076674433696,0.809867231548866,0.186751005541668,-0.0278957192599684,0.0390395856262564
Yearly_RR,-0.172348522880959,-0.89220324132615,-0.137097652948874,0.0984768162849554,0.18597102493291
Yearly_SA,0.203069601204376,0.877133586674922,0.193444749429391,-0.124568911528238,-0.144835686733932
Monthly_TM,0.959690159283895,-0.0548380876789554,-0.00885022622985702,-0.00216502796472254,-0.0129665946302645
Monthly_RR,-0.0154391869485265,-0.0789116478544026,0.580339713437541,0.726338597065709,-0.1321076727763
Monthly_SA,0.952441402801454,-0.110657987978987,-0.052425249027642,-0.0313073809977723,-0.0273184451497126
Daily_TX,0.967711060910582,-0.0300614649639008,-0.101593981049437,0.171977536551241,0.0043431160861
Daily_TN,0.973860420849078,0.0633249512575979,-0.0736425739356567,0.111052491535811,0.0222195193667954
