"time","RR..kg.m.2.","TM..degree_Celsius.","SA..s.","lat","lon"
"1990-01-01T00:00+00:00",593.1,11.2,6617520,48.293533,16.333431
"1991-01-01T00:00+00:00",673.7,10,6115320,48.293533,16.333431
"1992-01-01T00:00+00:00",610.2,11.4,6833880,48.293533,16.333431
"1993-01-01T00:00+00:00",653.9,10.4,6676200,48.293533,16.333431
"1994-01-01T00:00+00:00",634.6,12,6838560,48.293533,16.333431
"1995-01-01T00:00+00:00",789.2,10.7,6215040,48.293533,16.333431
"1996-01-01T00:00+00:00",742.6,9.4,6063480,48.293533,16.333431
"1997-01-01T00:00+00:00",796.8,10.4,6916320,48.293533,16.333431
"1998-01-01T00:00+00:00",699.4,11.2,6607800,48.293533,16.333431
"1999-01-01T00:00+00:00",716.9,11.2,6554520,48.293533,16.333431
"2000-01-01T00:00+00:00",552.6,12.1,7084080,48.293533,16.333431
"2001-01-01T00:00+00:00",569.9,11,6382440,48.293533,16.333431
"2002-01-01T00:00+00:00",851.7,11.7,6753960,48.293533,16.333431
"2003-01-01T00:00+00:00",455.6,11.4,7893720,48.293533,16.333431
"2004-01-01T00:00+00:00",685.5,10.8,6562440,48.293533,16.333431
"2005-01-01T00:00+00:00",651.2,10.7,7088400,48.293533,16.333431
"2006-01-01T00:00+00:00",709.1,11.2,7451280,48.293533,16.333431
"2007-01-01T00:00+00:00",881.2,12.2,7365240,48.293533,16.333431
"2008-01-01T00:00+00:00",697.4,11.8,6825240,48.293533,16.333431
"2009-01-01T00:00+00:00",909.6,11.5,6824880,48.293533,16.333431
"2010-01-01T00:00+00:00",860.4,10.3,6272640,48.293533,16.333431
"2011-01-01T00:00+00:00",545.5,11.5,7614000,48.293533,16.333431
"2012-01-01T00:00+00:00",619.7,11.8,7371000,48.293533,16.333431
"2013-01-01T00:00+00:00",740.8,11.3,6643440,48.293533,16.333431
"2014-01-01T00:00+00:00",792.9,12.4,6559920,48.293533,16.333431
"2015-01-01T00:00+00:00",534.5,12.5,7037640,48.293533,16.333431
"2016-01-01T00:00+00:00",760.7,11.9,6950160,48.293533,16.333431
"2017-01-01T00:00+00:00",622.6,12,7264800,48.293533,16.333431
"2018-01-01T00:00+00:00",723.8,12.9,7418880,48.293533,16.333431
"2019-01-01T00:00+00:00",688.8,12.8,7255080,48.293533,16.333431
"2020-01-01T00:00+00:00",742.4,12.2,6898320,48.293533,16.333431
"2021-01-01T00:00+00:00",601.8,11.5,7020720,48.293533,16.333431
"2022-01-01T00:00+00:00",486.9,12.6,7153560,48.293533,16.333431
"2023-01-01T00:00+00:00",816.8,13,6673320,48.293533,16.333431
"2024-01-01T00:00+00:00",858.7,13.5,7097760,48.293533,16.333431
"2025-01-01T00:00+00:00",332.1,13,5273640,48.293533,16.333431
"time","RR..kg.m.2.","TM..degree_Celsius.","SA..s.","lat","lon"
"1991-01-01T00:00+00:00",564.3,10.3,6245640,48.245766,16.438494
"1992-01-01T00:00+00:00",502.2,11.7,6954840,48.245766,16.438494
"1993-01-01T00:00+00:00",546.8,10.6,6757920,48.245766,16.438494
"1994-01-01T00:00+00:00",513.3,12.2,7022880,48.245766,16.438494
"1995-01-01T00:00+00:00",672.8,10.9,6352560,48.245766,16.438494
"1996-01-01T00:00+00:00",634.5,9.6,6203880,48.245766,16.438494
"1997-01-01T00:00+00:00",642.9,10.7,7085520,48.245766,16.438494
"1998-01-01T00:00+00:00",570.7,11.4,6683760,48.245766,16.438494
"1999-01-01T00:00+00:00",615.8,11.4,6636960,48.245766,16.438494
"2000-01-01T00:00+00:00",489.6,12.4,7269120,48.245766,16.438494
"2001-01-01T00:00+00:00",480,11.2,6486840,48.245766,16.438494
"2002-01-01T00:00+00:00",732.5,12,6896520,48.245766,16.438494
"2003-01-01T00:00+00:00",402,11.6,8039160,48.245766,16.438494
"2004-01-01T00:00+00:00",571.1,11.1,6697440,48.245766,16.438494
"2005-01-01T00:00+00:00",547.1,11,7246080,48.245766,16.438494
"2006-01-01T00:00+00:00",584.3,11.5,7496280,48.245766,16.438494
"2007-01-01T00:00+00:00",767.4,12.4,7568640,48.245766,16.438494
"2008-01-01T00:00+00:00",603.7,12.1,6992640,48.245766,16.438494
"2009-01-01T00:00+00:00",713.9,11.9,7008480,48.245766,16.438494
"2010-01-01T00:00+00:00",734.2,10.6,6446880,48.245766,16.438494
"2011-01-01T00:00+00:00",448,11.8,7718040,48.245766,16.438494
"2012-01-01T00:00+00:00",519.1,12.1,7583040,48.245766,16.438494
"2013-01-01T00:00+00:00",615.6,11.6,6784920,48.245766,16.438494
"2014-01-01T00:00+00:00",715.1,12.7,6802560,48.245766,16.438494
"2015-01-01T00:00+00:00",456.2,12.7,7241040,48.245766,16.438494
"2016-01-01T00:00+00:00",650.6,12.1,7172640,48.245766,16.438494
