"Species1","Species2","Correlation","p_value","p_adj_FDR"
"phalerata","immigrans",0.508033733321449,2.22044604925031e-16,9.99200722162641e-15
"phalerata","suzukii",0.417302089070635,4.176170520509e-11,9.39638367114526e-10
"funebris","melanogaster",0.404972809546947,1.72688530142295e-10,2.59032795213443e-09
"immigrans","suzukii",0.396652236097204,4.35794511588483e-10,4.90268825537044e-09
"suzukii","simulans",0.358153309790439,2.28956489323195e-08,2.06060840390876e-07
"funebris","hydei",0.331870420737005,2.57157688476894e-07,1.92868266357671e-06
"mercatorum","suzukii",-0.30973787145985,1.66667707235391e-06,1.07143526079894e-05
"hydei","melanogaster",0.304726625509178,2.49304686472662e-06,1.40233886140873e-05
"mercatorum","hydei",0.302354805656963,3.00870417069277e-06,1.50435208534638e-05
"mercatorum","simulans",-0.290577725152711,7.4692156601941e-06,3.36114704708734e-05
"funebris","mercatorum",0.274461149493205,2.4314172069495e-05,9.94670675570252e-05
"virilis","funebris",0.271717417604935,2.95111700632233e-05,0.000110666887737088
"phalerata","mercatorum",-0.241596223324056,0.000216476138427346,0.000749340479171583
"phalerata","simulans",0.219232349951097,0.000815366996379074,0.00252337251783552
"immigrans","mercatorum",-0.21868092170168,0.00084112417261184,0.00252337251783552
