,melanogaster,simulans,suzukii,hydei,mercatorum,repleta,funebris,immigrans,phalerata,virilis
melanogaster,1,0.111878524793775,0.0319985400205056,0.304726625509178,0.0162881943410365,-0.166280705944723,0.404972809546947,0.0585129407408164,0.0155710114724664,0.155588289957177
simulans,0.111878524793775,1,0.358153309790439,0.000544654782948893,-0.290577725152711,-0.118142014658849,-0.059835258049441,0.125823832349654,0.219232349951097,-0.0836823103183986
suzukii,0.0319985400205056,0.358153309790439,1,0.00221149435262506,-0.30973787145985,-0.129128383706801,0.0339499630526363,0.396652236097204,0.417302089070635,-0.0621820127082474
hydei,0.304726625509178,0.000544654782948893,0.00221149435262506,1,0.302354805656963,0.0691391336277825,0.331870420737005,0.0625220394912658,-0.0411088118374685,0.135866931509906
mercatorum,0.0162881943410365,-0.290577725152711,-0.30973787145985,0.302354805656963,1,0.09096518596457,0.274461149493205,-0.21868092170168,-0.241596223324056,-0.0678748398396326
repleta,-0.166280705944723,-0.118142014658849,-0.129128383706801,0.0691391336277825,0.09096518596457,1,-0.0774050223204732,-0.129246091022788,-0.0935914112938163,-0.106595650119939
funebris,0.404972809546947,-0.059835258049441,0.0339499630526363,0.331870420737005,0.274461149493205,-0.0774050223204732,1,0.163808685207739,-0.028773775665501,0.271717417604935
immigrans,0.0585129407408164,0.125823832349654,0.396652236097204,0.0625220394912658,-0.21868092170168,-0.129246091022788,0.163808685207739,1,0.508033733321449,0.0497369030522888
phalerata,0.0155710114724664,0.219232349951097,0.417302089070635,-0.0411088118374685,-0.241596223324056,-0.0935914112938163,-0.028773775665501,0.508033733321449,1,-0.0357425383218262
virilis,0.155588289957177,-0.0836823103183986,-0.0621820127082474,0.135866931509906,-0.0678748398396326,-0.106595650119939,0.271717417604935,0.0497369030522888,-0.0357425383218262,1
