,melanogaster,simulans,suzukii,hydei,mercatorum,repleta,funebris,immigrans,phalerata,virilis
melanogaster,NA,0.0904943273283387,0.629265076136026,2.49304686472662e-06,0.805919802412585,0.011548794057525,1.72688530142295e-10,0.377066164006433,0.814306764251932,0.0182181594145514
simulans,0.0904943273283387,NA,2.28956489323195e-08,0.993445376427235,7.4692156601941e-06,0.073740841872743,0.366360264393908,0.0567286917139165,0.000815366996379074,0.206083131370439
suzukii,0.629265076136026,2.28956489323195e-08,NA,0.973390474971589,1.66667707235391e-06,0.0504822213568876,0.608497668682629,4.35794511588483e-10,4.176170520509e-11,0.347829484610247
hydei,2.49304686472662e-06,0.993445376427235,0.973390474971589,NA,3.00870417069277e-06,0.296446582649455,2.57157688476894e-07,0.345194495242367,0.535052729105723,0.0395082171606851
mercatorum,0.805919802412585,7.4692156601941e-06,1.66667707235391e-06,3.00870417069277e-06,NA,0.16916521897333,2.4314172069495e-05,0.00084112417261184,0.000216476138427346,0.305388219951911
repleta,0.011548794057525,0.073740841872743,0.0504822213568876,0.296446582649455,0.16916521897333,NA,0.242297089288356,0.050270731647823,0.157139522935414,0.10687659158337
funebris,1.72688530142295e-10,0.366360264393908,0.608497668682629,2.57157688476894e-07,2.4314172069495e-05,0.242297089288356,NA,0.0128618279223707,0.664224355361357,2.95111700632233e-05
immigrans,0.377066164006433,0.0567286917139165,4.35794511588483e-10,0.345194495242367,0.00084112417261184,0.050270731647823,0.0128618279223707,NA,2.22044604925031e-16,0.452861826846682
phalerata,0.814306764251932,0.000815366996379074,4.176170520509e-11,0.535052729105723,0.000216476138427346,0.157139522935414,0.664224355361357,2.22044604925031e-16,NA,0.589692696253405
virilis,0.0182181594145514,0.206083131370439,0.347829484610247,0.0395082171606851,0.305388219951911,0.10687659158337,2.95111700632233e-05,0.452861826846682,0.589692696253405,NA
