,melanogaster,simulans,suzukii,hydei,mercatorum,repleta,funebris,immigrans,phalerata,virilis
melanogaster,NA,0.169676863740635,0.70792321065303,1.40233886140873e-05,0.852181497472952,0.0324809832867889,2.59032795213443e-09,0.484799353722556,0.852181497472952,0.0455453985363785
simulans,0.169676863740635,NA,2.06060840390876e-07,0.993445376427235,3.36114704708734e-05,0.144275560185802,0.484799353722556,0.11603596032392,0.00252337251783552,0.331205032559634
suzukii,0.70792321065303,2.06060840390876e-07,NA,0.993445376427235,1.07143526079894e-05,0.108176188621902,0.702112694633802,4.90268825537044e-09,9.39638367114526e-10,0.474312933559428
hydei,1.40233886140873e-05,0.993445376427235,0.993445376427235,NA,1.50435208534638e-05,0.443305480575355,1.92868266357671e-06,0.474312933559428,0.650739805669122,0.0935720932753068
mercatorum,0.852181497472952,3.36114704708734e-05,1.07143526079894e-05,1.50435208534638e-05,NA,0.281942031622217,9.94670675570252e-05,0.00252337251783552,0.000749340479171583,0.443305480575355
repleta,0.0324809832867889,0.144275560185802,0.108176188621902,0.443305480575355,0.281942031622217,NA,0.375978241999173,0.108176188621902,0.27197225123437,0.192377864850067
funebris,2.59032795213443e-09,0.484799353722556,0.702112694633802,1.92868266357671e-06,9.94670675570252e-05,0.375978241999173,NA,0.0340460150886282,0.729026731494173,0.000110666887737088
immigrans,0.484799353722556,0.11603596032392,4.90268825537044e-09,0.474312933559428,0.00252337251783552,0.108176188621902,0.0340460150886282,NA,9.99200722162641e-15,0.566077283558353
phalerata,0.852181497472952,0.00252337251783552,9.39638367114526e-10,0.650739805669122,0.000749340479171583,0.27197225123437,0.729026731494173,9.99200722162641e-15,NA,0.698320298194821
virilis,0.0455453985363785,0.331205032559634,0.474312933559428,0.0935720932753068,0.443305480575355,0.192377864850067,0.000110666887737088,0.566077283558353,0.698320298194821,NA
